Wind direction at 10m (deg),Wind speed at 10m (knots),Temperature at 2m (deg C),Rainfall mm/hr,ID,Valid time
250,16,19.5,0.6,AAA,23:00 20-Dec-2018 UTC
250,17,20.0,0.0,AAA,22:00 20-Dec-2018 UTC
260,16,18.1,0.2,AAA,21:00 20-Dec-2018 UTC
260,12,18.5,0.0,AAA,20:00 20-Dec-2018 UTC
240,10,17.7,0.2,AAA,19:00 20-Dec-2018 UTC
250,09,17.7,0.0,AAA,18:00 20-Dec-2018 UTC
250,11,17.5,0.0,AAA,17:00 20-Dec-2018 UTC
250,11,17.5,0.0,AAA,16:00 20-Dec-2018 UTC
240,11,17.7,0.0,AAA,15:00 20-Dec-2018 UTC
240,09,17.5,0.0,AAA,14:00 20-Dec-2018 UTC
270,06,17.3,0.0,AAA,13:00 20-Dec-2018 UTC
320,06,16.9,0.0,AAA,12:00 20-Dec-2018 UTC
320,05,17.1,0.0,AAA,11:00 20-Dec-2018 UTC
350,04,16.8,0.0,AAA,10:00 20-Dec-2018 UTC
300,05,16.7,0.0,AAA,09:00 20-Dec-2018 UTC
300,07,17.1,0.8,AAA,08:00 20-Dec-2018 UTC
280,09,17.9,0.0,AAA,07:00 20-Dec-2018 UTC
270,17,17.8,0.0,AAA,06:00 20-Dec-2018 UTC
260,15,20.4,0.0,AAA,05:00 20-Dec-2018 UTC
250,17,21.0,0.0,AAA,04:00 20-Dec-2018 UTC
260,18,20.2,0.0,AAA,03:00 20-Dec-2018 UTC
260,15,21.4,0.0,AAA,02:00 20-Dec-2018 UTC
250,14,21.5,0.0,AAA,01:00 20-Dec-2018 UTC
240,14,19.3,0.2,AAA,00:00 20-Dec-2018 UTC
220,11,19.3,0.0,AAA,23:00 19-Dec-2018 UTC
220,13,18.8,2.4,AAA,22:00 19-Dec-2018 UTC
040,03,17.5,18.6,AAA,21:00 19-Dec-2018 UTC
350,07,18.4,0.6,AAA,20:00 19-Dec-2018 UTC
340,08,17.6,0.8,AAA,19:00 19-Dec-2018 UTC
310,08,17.5,0.2,AAA,18:00 19-Dec-2018 UTC
340,08,17.0,1.2,AAA,17:00 19-Dec-2018 UTC
350,04,16.8,2.8,AAA,16:00 19-Dec-2018 UTC
340,08,16.6,4.4,AAA,15:00 19-Dec-2018 UTC
330,14,17.1,5.4,AAA,14:00 19-Dec-2018 UTC
330,10,18.3,1.8,AAA,13:00 19-Dec-2018 UTC
330,09,18.6,0.4,AAA,12:00 19-Dec-2018 UTC
330,11,18.8,0.2,AAA,11:00 19-Dec-2018 UTC
330,09,18.6,0.2,AAA,10:00 19-Dec-2018 UTC
330,13,18.8,0.6,AAA,09:00 19-Dec-2018 UTC
310,11,20.0,0.0,AAA,08:00 19-Dec-2018 UTC
310,15,19.9,0.0,AAA,07:00 19-Dec-2018 UTC
300,10,20.8,0.0,AAA,06:00 19-Dec-2018 UTC
280,11,21.1,0.0,AAA,05:00 19-Dec-2018 UTC
290,13,21.5,0.0,AAA,04:00 19-Dec-2018 UTC
260,10,22.5,0.0,AAA,03:00 19-Dec-2018 UTC
260,14,23.3,0.0,AAA,02:00 19-Dec-2018 UTC
260,14,23.0,0.0,AAA,01:00 19-Dec-2018 UTC
240,14,23.0,0.0,AAA,00:00 19-Dec-2018 UTC
250,14,22.8,0.0,AAA,23:00 18-Dec-2018 UTC
250,10,22.2,0.2,AAA,22:00 18-Dec-2018 UTC
260,13,21.4,0.0,AAA,21:00 18-Dec-2018 UTC
260,13,20.9,0.0,AAA,20:00 18-Dec-2018 UTC
260,13,20.1,0.0,AAA,19:00 18-Dec-2018 UTC
250,08,18.4,0.0,AAA,18:00 18-Dec-2018 UTC
260,10,18.3,0.0,AAA,17:00 18-Dec-2018 UTC
250,10,18.8,0.0,AAA,16:00 18-Dec-2018 UTC
250,10,18.5,0.0,AAA,15:00 18-Dec-2018 UTC
250,11,18.7,0.0,AAA,14:00 18-Dec-2018 UTC
250,11,18.9,0.0,AAA,13:00 18-Dec-2018 UTC
240,11,19.2,0.0,AAA,12:00 18-Dec-2018 UTC
230,10,19.5,0.0,AAA,11:00 18-Dec-2018 UTC
230,10,19.6,0.0,AAA,10:00 18-Dec-2018 UTC
240,08,19.2,0.0,AAA,09:00 18-Dec-2018 UTC
230,08,19.4,0.0,AAA,08:00 18-Dec-2018 UTC
230,10,20.5,0.0,AAA,07:00 18-Dec-2018 UTC
220,11,21.7,0.0,AAA,06:00 18-Dec-2018 UTC
220,14,21.6,0.0,AAA,05:00 18-Dec-2018 UTC
220,15,22.7,0.0,AAA,04:00 18-Dec-2018 UTC
230,11,23.0,0.0,AAA,03:00 18-Dec-2018 UTC
230,13,23.0,0.0,AAA,02:00 18-Dec-2018 UTC
230,10,23.3,0.0,AAA,01:00 18-Dec-2018 UTC
